,index,symbol,series,openPrice,highPrice,lowPrice,ltp,previousPrice,netPrice,tradedQuantity,turnoverInLakhs,lastCorpAnnouncementDate,lastCorpAnnouncement
0,2,ULTRACEMCO,EQ,6131.8,6293.0,6111.25,6270.0,6067.9,3.33,697792.0,43554.99,29-Jul-2020,Annual General Meeting/Dividend - Rs 13 Per Share
1,9,EICHERMOT,EQ,2329.5,2376.15,2329.5,2366.55,2317.3,2.13,1330072.0,31383.05,24-Aug-2020,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
2,6,HINDUNILVR,EQ,2324.0,2369.8,2311.0,2367.7,2307.75,2.6,1946867.0,45574.01,28-Oct-2020,Interim Dividend - Rs 14 Per Share
3,4,GRASIM,EQ,1285.0,1321.0,1285.0,1320.0,1278.1,3.28,1233546.0,16080.63,26-Aug-2020,Dividend - Rs 4 Per Share
4,0,AXISBANK,EQ,694.0,703.8,684.5,699.5,671.35,4.19,21646184.0,150510.25,04-Jul-2019,Annual General Meeting/ Dividend - Re 1 Per Share
5,5,HDFCLIFE,EQ,693.0,708.15,687.2,707.5,686.35,3.08,3274660.0,22865.97,11-Jul-2019,Annual General Meeting
6,1,JSWSTEEL,EQ,642.0,660.7,638.25,657.0,635.4,3.4,16506538.0,107531.84,06-Jul-2020,Dividend - Rs 2 Per Share
7,3,ICICIBANK,EQ,602.0,605.5,588.0,588.7,569.95,3.29,62584522.0,373141.44,22-Jul-2019,Annual General Meeting/Dividend - Re 1 Per Share
8,7,SBIN,EQ,339.25,347.45,339.25,344.8,336.45,2.48,49234985.0,169983.79,15-Jun-2018,Annual General Meeting/ Change In Registrar And Transfer Agent
9,8,POWERGRID,EQ,208.2,216.45,208.2,215.75,211.15,2.18,10765892.0,22956.11,08-Mar-2021,Interim Dividend - Rs 4 Per Share
